Table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,
"Table 4a. Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race and Hispanic Origin, for States: November 2004",,,,,,,,,,
(In thousands),,,,,,,,,,
(leading dots indicate subpart),,,,,,,,,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total citizen,,,Total registered,,,Total voted,,
"State, sex, race, and Hispanic origin",Population 18 and over,Total  ,Percent citizen (18+),Margin of error1,Total  ,Percent registered (18+),Margin of error1,Total  ,Percent voted (18+),Margin of error1
UNITED STATES,,,,,,,,,,
.Total,215694,197005,91.3,0.2,142070,65.9,0.3,125736,58.3,0.3
.Male,103812,94147,90.7,0.3,66406,64,0.4,58455,56.3,0.4
.Female,111882,102858,91.9,0.2,75663,67.6,0.4,67281,60.1,0.4
.White alone,176618,162958,92.3,0.2,119929,67.9,0.3,106588,60.3,0.3
..White non-Hispanic alone,151410,148159,97.9,0.1,111318,73.5,0.3,99567,65.8,0.3
.Black alone,24910,23346,93.7,0.5,16035,64.4,1,14016,56.3,1.1
.Asian alone,9291,6270,67.5,1.7,3247,35,1.8,2768,29.8,1.7
.Hispanic (of any race),27129,16088,59.3,1.3,9308,34.3,1.3,7587,28,1.2
.White alone or in combination,179050,165244,92.3,0.2,121527,67.9,0.3,107930,60.3,0.3
..White non-Hispanic alone or in combination,153399,150128,97.9,0.1,112703,73.5,0.3,100726,65.7,0.3
.Black alone or in combination ,25510,23908,93.7,0.5,16408,64.3,1,14324,56.1,1.1
.Asian alone or in combination,9721,6686,68.8,1.7,3508,36.1,1.7,2980,30.7,1.7
ALABAMA,,,,,,,,,,
.Total,3332,3257,97.8,0.7,2418,72.6,2.1,2060,61.8,2.3
.Male,1568,1521,97,1.2,1109,70.7,3.1,935,59.6,3.4
.Female,1764,1736,98.4,0.8,1309,74.2,2.9,1125,63.8,3.1
.White alone,2450,2400,97.9,0.8,1808,73.8,2.4,1523,62.2,2.7
..White non-Hispanic alone,2412,2392,99.2,0.5,1806,74.9,2.4,1522,63.1,2.7
.Black alone,799,799,100,-,583,72.9,5.2,511,63.9,5.6
.Asian alone,40,15,(B),(B),4,(B),(B),4,(B),(B)
.Hispanic (of any race),39,8,(B),(B),2,(B),(B),2,(B),(B)
.White alone or in combination,2474,2424,98,0.8,1823,73.7,2.4,1539,62.2,2.7
..White non-Hispanic alone or in combination,2435,2415,99.2,0.5,1822,74.8,2.4,1537,63.1,2.7
.Black alone or in combination ,806,806,100,-,590,73.2,5.2,517,64.2,5.6
.Asian alone or in combination,40,15,(B),(B),4,(B),(B),4,(B),(B)
ALASKA,,,,,,,,,,
.Total,451,434,96.2,0.9,334,74,2,293,65,2.2
.Male,224,219,97.8,1,168,74.8,2.8,146,65.1,3.1
.Female,227,215,94.5,1.5,167,73.3,2.9,148,64.9,3.1
.White alone,359,350,97.3,0.8,278,77.3,2.2,249,69.3,2.4
..White non-Hispanic alone,343,336,98.1,0.7,269,78.4,2.2,241,70.4,2.4
.Black alone,13,13,(B),(B),9,(B),(B),8,(B),(B)
.Asian alone,24,17,(B),(B),9,(B),(B),7,(B),(B)
.Hispanic (of any race),22,18,(B),(B),13,(B),(B),10,(B),(B)
.White alone or in combination,376,367,97.4,0.8,290,77,2.1,259,68.9,2.3
..White non-Hispanic alone or in combination,359,352,98.1,0.7,280,78,2.1,251,69.9,2.4
.Black alone or in combination ,15,14,(B),(B),11,(B),(B),9,(B),(B)
.Asian alone or in combination,25,18,(B),(B),10,(B),(B),8,(B),(B)
ARIZONA,,,,,,,,,,
.Total,4122,3508,85.1,1.7,2485,60.3,2.3,2239,54.3,2.3
.Male,2008,1687,84,2.5,1166,58,3.3,1034,51.5,3.4
.Female,2114,1822,86.2,2.3,1319,62.4,3.2,1205,57,3.3
.Non-Hispanic White,3747,3168,84.5,1.8,2305,61.5,2.4,2094,55.9,2.5
.White alone,3747,3168,84.5,1.8,2305,61.5,2.4,2094,55.9,2.5
..White non-Hispanic alone,2622,2564,97.8,0.9,1962,74.8,2.6,1803,68.8,2.7
.Black alone,142,136,95.7,6.2,81,57,15.2,66,46.6,15.3
.Asian alone,57,38,(B),(B),20,(B),(B),17,(B),(B)
.Hispanic (of any race),1160,629,54.2,7,354,30.5,6.4,296,25.5,6.1
.White alone or in combination,3779,3196,84.6,1.8,2320,61.4,2.4,2109,55.8,2.4
..White non-Hispanic alone or in combination,2650,2592,97.8,0.9,1977,74.6,2.6,1818,68.6,2.7
.Black alone or in combination ,152,146,96,5.8,84,55.3,14.8,70,45.6,14.8
.Asian alone or in combination,63,44,(B),(B),23,(B),(B),20,(B),(B)
ARKANSAS,,,,,,,,,,
.Total,2010,1942,96.6,0.9,1328,66.1,2.4,1140,56.7,2.5
.Male,962,926,96.3,1.4,606,63,3.5,524,54.4,3.6
.Female,1048,1015,96.9,1.2,723,69,3.2,617,58.9,3.4
.White alone,1649,1593,96.6,1,1106,67.1,2.6,966,58.6,2.7
..White non-Hispanic alone,1578,1570,99.5,0.4,1096,69.4,2.6,959,60.8,2.8
.Black alone,295,295,100,-,188,63.7,7.7,145,49.4,8
.Asian alone,24,13,(B),(B),-,(B),(B),-,(B),(B)
.Hispanic (of any race),73,25,(B),(B),10,(B),(B),7,(B),(B)
.White alone or in combination,1684,1628,96.7,1,1135,67.4,2.6,990,58.8,2.7
..White non-Hispanic alone or in combination,1613,1605,99.5,0.4,1125,69.7,2.6,983,61,2.7
.Black alone or in combination ,297,297,100,-,190,63.9,7.6,147,49.7,7.9
.Asian alone or in combination,25,14,(B),(B),-,(B),(B),-,(B),(B)
CALIFORNIA,,,,,,,,,,
.Total,26085,20693,79.3,0.9,14193,54.4,1.1,12807,49.1,1.1
.Male,12783,10042,78.6,1.3,6695,52.4,1.5,6022,47.1,1.5
.Female,13302,10651,80.1,1.2,7498,56.4,1.5,6785,51,1.5
.White alone,20083,15913,79.2,1,11286,56.2,1.2,10273,51.2,1.2
..White non-Hispanic alone,12350,11777,95.4,0.7,8976,72.7,1.4,8311,67.3,1.5
.Black alone,1678,1564,93.2,2.6,1141,68,4.8,1035,61.7,5
.Asian alone,3524,2511,71.3,3.3,1318,37.4,3.6,1113,31.6,3.4
.Hispanic (of any race),8127,4433,54.5,3,2455,30.2,2.8,2081,25.6,2.6
.White alone or in combination,20410,16234,79.5,1,11515,56.4,1.2,10468,51.3,1.2
..White non-Hispanic alone or in combination,12590,12015,95.4,0.6,9147,72.7,1.4,8453,67.1,1.4
.Black alone or in combination ,1757,1642,93.5,2.5,1193,67.9,4.6,1077,61.3,4.8
.Asian alone or in combination,3636,2620,72.1,3.2,1379,37.9,3.5,1162,31.9,3.4
COLORADO,,,,,,,,,,
.Total,3398,3109,91.5,1.1,2307,67.9,1.9,2097,61.7,1.9
.Male,1691,1546,91.4,1.6,1134,67.1,2.6,1016,60.1,2.8
.Female,1708,1563,91.5,1.6,1173,68.7,2.6,1081,63.3,2.7
.White alone,3098,2843,91.8,1.1,2162,69.8,1.9,1972,63.7,2
..White non-Hispanic alone,2561,2516,98.2,0.6,1978,77.2,1.9,1827,71.3,2.1
.Black alone,123,114,92.7,6.6,67,54.3,12.6,56,45.6,12.6
.Asian alone,87,63,(B),(B),23,(B),(B),18,(B),(B)
.Hispanic (of any race),574,361,62.9,7.3,204,35.6,7.3,165,28.8,6.9
.White alone or in combination,3153,2899,91.9,1.1,2199,69.7,1.9,2008,63.7,2
..White non-Hispanic alone or in combination,2602,2557,98.3,0.6,2004,77,1.9,1851,71.2,2.1
.Black alone or in combination ,130,121,93.1,6.2,72,55.2,12.2,57,43.9,12.2
.Asian alone or in combination,94,70,(B),(B),28,(B),(B),23,(B),(B)
CONNECTICUT,,,,,,,,,,
.Total,2606,2409,92.5,1.1,1695,65,2,1524,58.5,2
.Male,1246,1147,92.1,1.6,775,62.2,2.9,704,56.5,2.9
.Female,1359,1262,92.8,1.5,919,67.6,2.7,820,60.3,2.8
.White alone,2278,2143,94.1,1,1519,66.7,2.1,1369,60.1,2.1
..White non-Hispanic alone,2113,2018,95.5,0.9,1460,69.1,2.1,1319,62.4,2.2
.Black alone,233,207,88.8,5.2,135,57.9,8.2,117,50.2,8.3
.Asian alone,75,39,(B),(B),28,(B),(B),26,(B),(B)
.Hispanic (of any race),170,130,76.6,10.7,64,37.6,12.2,56,32.9,11.9
.White alone or in combination,2291,2156,94.1,1,1527,66.6,2.1,1376,60.1,2.1
..White non-Hispanic alone or in combination,2125,2030,95.5,0.9,1467,69,2.1,1324,62.3,2.2
.Black alone or in combination ,237,211,89,5.2,138,58.2,8.1,120,50.7,8.2
.Asian alone or in combination,75,39,(B),(B),28,(B),(B),26,(B),(B)
DELAWARE,,,,,,,,,,
.Total,612,579,94.6,1.1,415,67.7,2.3,385,62.8,2.3
.Male,292,272,93.4,1.7,189,64.9,3.3,174,59.6,3.4
.Female,320,307,95.8,1.3,225,70.3,3.1,211,65.7,3.2
.White alone,485,462,95.3,1.2,344,70.9,2.5,322,66.4,2.6
..White non-Hispanic alone,445,441,99,0.6,333,74.8,2.5,311,69.9,2.6
.Black alone,108,105,97.3,2.3,63,58.4,6.9,57,52.4,7
.Asian alone,12,5,(B),(B),3,(B),(B),3,(B),(B)
.Hispanic (of any race),44,24,(B),(B),13,(B),(B),12,(B),(B)
.White alone or in combination,488,464,95.1,1.2,346,70.9,2.5,323,66.2,2.6
..White non-Hispanic alone or in combination,447,443,99,0.6,335,74.9,2.5,312,69.9,2.6
.Black alone or in combination ,111,107,97,2.4,65,58.8,6.8,58,52.3,6.9
.Asian alone or in combination,12,6,(B),(B),3,(B),(B),3,(B),(B)
DISTRICT OF COLUMBIA,,,,,,,,,,
.Total,435,390,89.6,1.5,293,67.4,2.4,270,62,2.5
.Male,199,176,88.1,2.4,130,65,3.6,118,59.3,3.7
.Female,236,214,90.8,2,164,69.4,3.2,152,64.3,3.3
.White alone,179,149,83.3,2.9,122,68.1,3.7,116,64.8,3.8
..White non-Hispanic alone,150,140,93.5,2.1,115,77.1,3.6,110,73.4,3.8
.Black alone,240,229,95.6,1.7,163,68.2,3.8,146,61,4
.Asian alone,9,5,(B),(B),4,(B),(B),3,(B),(B)
.Hispanic (of any race),38,15,(B),(B),10,(B),(B),9,(B),(B)
.White alone or in combination,184,153,83.4,2.9,124,67.7,3.6,118,64.6,3.7
..White non-Hispanic alone or in combination,151,141,93.4,2.1,116,77.1,3.6,111,73.4,3.8
.Black alone or in combination ,242,231,95.6,1.7,165,68.4,3.8,148,61.2,4
.Asian alone or in combination,10,6,(B),(B),5,(B),(B),4,(B),(B)
FLORIDA,,,,,,,,,,
.Total,13133,11469,87.3,0.9,8219,62.6,1.3,7372,56.1,1.3
.Male,6266,5393,86.1,1.3,3784,60.4,1.9,3375,53.9,1.9
.Female,6867,6075,88.5,1.2,4434,64.6,1.7,3997,58.2,1.8
.White alone,10871,9635,88.6,0.9,7030,64.7,1.4,6349,58.4,1.4
..White non-Hispanic alone,8594,8279,96.3,0.6,6169,71.8,1.5,5577,64.9,1.6
.Black alone,1832,1490,81.3,3.3,965,52.6,4.3,815,44.5,4.2
.Asian alone,260,185,71.4,10.7,97,37.2,11.4,86,33.1,11.1
.Hispanic (of any race),2422,1444,59.6,4.7,924,38.2,4.7,824,34,4.6
.White alone or in combination,11011,9770,88.7,0.9,7135,64.8,1.4,6450,58.6,1.4
..White non-Hispanic alone or in combination,8701,8384,96.4,0.6,6251,71.8,1.5,5656,65,1.5
.Black alone or in combination ,1873,1528,81.6,3.3,994,53.1,4.2,841,44.9,4.2
.Asian alone or in combination,277,203,73.2,10.1,112,40.2,11.2,99,35.7,11
GEORGIA,,,,,,,,,,
.Total,6338,5866,92.6,1.2,3948,62.3,2.2,3332,52.6,2.3
.Male,3070,2793,91,1.9,1791,58.4,3.3,1503,49,3.3
.Female,3268,3074,94.1,1.5,2157,66,3.1,1829,56,3.2
.White alone,4390,4068,92.7,1.4,2788,63.5,2.7,2351,53.6,2.8
..White non-Hispanic alone,4051,3993,98.6,0.7,2753,68,2.7,2327,57.4,2.9
.Black alone,1688,1598,94.7,2.4,1083,64.2,5.2,919,54.4,5.4
.Asian alone,194,133,68.5,15.5,43,22.1,13.9,31,16.1,12.3
.Hispanic (of any race),376,86,22.8,12.5,36,9.6,8.8,26,7,7.6
.White alone or in combination,4431,4110,92.8,1.4,2808,63.4,2.7,2368,53.4,2.8
..White non-Hispanic alone or in combination,4093,4035,98.6,0.7,2773,67.8,2.7,2343,57.3,2.8
.Black alone or in combination ,1703,1614,94.8,2.4,1089,64,5.2,925,54.3,5.4
.Asian alone or in combination,194,133,68.5,15.5,43,22.1,13.9,31,16.1,12.3
HAWAII,,,,,,,,,,
.Total,938,852,90.8,1.4,497,53,2.3,433,46.2,2.3
.Male,448,414,92.3,1.8,228,50.9,3.4,196,43.7,3.4
.Female,490,438,89.4,2,269,54.9,3.2,237,48.4,3.3
.White alone,208,196,94,2.4,148,71.2,4.5,130,62.5,4.8
..White non-Hispanic alone,186,178,95.9,2.1,139,74.7,4.6,121,65.2,5
.Black alone,17,17,(B),(B),7,(B),(B),6,(B),(B)
.Asian alone,475,411,86.4,2.9,228,48,4.2,200,42,4.1
.Hispanic (of any race),55,48,(B),(B),23,(B),(B),19,(B),(B)
.White alone or in combination,321,309,96.1,1.6,207,64.3,3.8,181,56.4,4
..White non-Hispanic alone or in combination,284,276,97.3,1.4,190,66.8,4,166,58.4,4.2
.Black alone or in combination ,21,21,(B),(B),9,(B),(B),8,(B),(B)
.Asian alone or in combination,602,536,89.1,2.3,294,48.8,3.7,257,42.7,3.7
IDAHO,,,,,,,,,,
.Total,996,948,95.3,1,663,66.5,2.3,585,58.7,2.4
.Male,487,462,94.9,1.5,317,65.2,3.3,273,56.1,3.5
.Female,509,487,95.6,1.4,345,67.9,3.2,311,61.2,3.3
.White alone,942,897,95.3,1.1,644,68.4,2.3,571,60.7,2.5
..White non-Hispanic alone,857,848,99,0.5,626,73.1,2.3,558,65.2,2.5
.Black alone,5,5,(B),(B),-,(B),(B),-,(B),(B)
.Asian alone,15,12,(B),(B),4,(B),(B),2,(B),(B)
.Hispanic (of any race),89,53,(B),(B),19,(B),(B),14,(B),(B)
.White alone or in combination,960,916,95.4,1,654,68.1,2.3,580,60.4,2.4
..White non-Hispanic alone or in combination,872,864,99,0.5,636,72.9,2.3,567,65,2.5
.Black alone or in combination ,7,7,(B),(B),1,(B),(B),-,(B),(B)
.Asian alone or in combination,17,14,(B),(B),5,(B),(B),4,(B),(B)
ILLINOIS,,,,,,,,,,
.Total,9303,8640,92.9,0.8,6437,69.2,1.4,5672,61,1.5
.Male,4469,4143,92.7,1.1,3049,68.2,2,2640,59.1,2.2
.Female,4835,4497,93,1.1,3388,70.1,1.9,3032,62.7,2
.White alone,7648,7112,93,0.9,5376,70.3,1.5,4708,61.6,1.6
..White non-Hispanic alone,6676,6524,97.7,0.5,5037,75.4,1.5,4418,66.2,1.7
.Black alone,1277,1268,99.3,0.8,919,72,4.5,855,66.9,4.7
.Asian alone,277,201,72.5,9.9,99,35.6,10.7,75,27.1,9.9
.Hispanic (of any race),1031,608,59,7.1,343,33.2,6.8,294,28.5,6.5
.White alone or in combination,7685,7147,93,0.9,5404,70.3,1.5,4733,61.6,1.6
..White non-Hispanic alone or in combination,6714,6558,97.7,0.5,5064,75.4,1.5,4443,66.2,1.7
.Black alone or in combination ,1289,1280,99.3,0.8,926,71.8,4.4,860,66.7,4.7
.Asian alone or in combination,283,204,72.1,9.9,102,36,10.6,78,27.6,9.9
INDIANA,,,,,,,,,,
.Total,4536,4435,97.8,0.6,3031,66.8,1.9,2598,57.3,2
.Male,2182,2132,97.7,0.9,1473,67.5,2.7,1247,57.1,2.9
.Female,2354,2303,97.8,0.8,1558,66.2,2.6,1351,57.4,2.8
.White alone,4088,3999,97.8,0.6,2755,67.4,2,2364,57.8,2.1
..White non-Hispanic alone,3905,3881,99.4,0.3,2698,69.1,2,2323,59.5,2.1
