Race,Total Population,Citizen Population,Registered Population,Voting Population,Year
Total,2320.0,2232.0,1745.0,1548.0,2012
White,2173.0,2123.0,1673.0,1482.0,2012
Black,54.0,51.0,35.0,33.0,2012
Asian,61.0,35.0,21.0,17.0,2012
Hispanic,120.0,71.0,32.0,30.0,2012
Total,2244.0,2137.0,1630.0,1501.0,2008
White,2084.0,2005.0,1550.0,1422.0,2008
Black,71.0,68.0,42.0,42.0,2008
Asian,58.0,32.0,11.0,11.0,2008
Hispanic,101.0,31.0,21.0,20.0,2008
Total,2212.0,2136.0,1674.0,1522.0,2004
White,2120.0,2061.0,1620.0,1473.0,2004
Black,37.0,36.0,24.0,23.0,2004
Asian,27.0,15.0,11.0,11.0,2004
Hispanic,69.0,24.0,13.0,12.0,2004
Total,2110.0,2008.0,1524.0,1353.0,2000
Hispanic,89.0,29.0,22.0,19.0,2000
White,2009.0,1934.0,1482.0,1320.0,2000
Black,81.0,72.0,42.0,34.0,2000
Total,2848.0,1948.0,1543.0,1291.0,1996
White,2750.0,1999.0,1497.0,1265.0,1996
Black,55.0,43.0,23.0,20.0,1996
Hispanic,49.0,24.0,12.0,6.0,1996
