FIPS,Name,total_pop,hisp_pop,hisp_perc
19001960100,"Census Tract 9601, Adair County, Iowa",2831,58,2.0
19001960200,"Census Tract 9602, Adair County, Iowa",1700,12,0.7
19001960300,"Census Tract 9603, Adair County, Iowa",3012,44,1.5
19003950100,"Census Tract 9501, Adams County, Iowa",1678,6,0.4
19003950200,"Census Tract 9502, Adams County, Iowa",2259,33,1.5
19005960100,"Census Tract 9601, Allamakee County, Iowa",1928,49,2.5
19005960200,"Census Tract 9602, Allamakee County, Iowa",2616,0,0.0
19005960300,"Census Tract 9603, Allamakee County, Iowa",3987,40,1.0
19005960400,"Census Tract 9604, Allamakee County, Iowa",2413,7,0.3
19005960500,"Census Tract 9605, Allamakee County, Iowa",3208,673,21.0
19007950100,"Census Tract 9501, Appanoose County, Iowa",2860,27,0.9
19007950200,"Census Tract 9502, Appanoose County, Iowa",1765,5,0.3
19007950300,"Census Tract 9503, Appanoose County, Iowa",2654,140,5.3
19007950400,"Census Tract 9504, Appanoose County, Iowa",3420,21,0.6
19007950500,"Census Tract 9505, Appanoose County, Iowa",2055,4,0.2
19009070100,"Census Tract 701, Audubon County, Iowa",1973,12,0.6
19009070200,"Census Tract 702, Audubon County, Iowa",2281,30,1.3
19009070300,"Census Tract 703, Audubon County, Iowa",1681,0,0.0
19011960100,"Census Tract 9601, Benton County, Iowa",2946,0,0.0
19011960200,"Census Tract 9602, Benton County, Iowa",3136,90,2.9
19011960300,"Census Tract 9603, Benton County, Iowa",5432,2,0.0
19011960400,"Census Tract 9604, Benton County, Iowa",3141,0,0.0
19011960500,"Census Tract 9605, Benton County, Iowa",5786,30,0.5
19011960600,"Census Tract 9606, Benton County, Iowa",2714,52,1.9
19011960700,"Census Tract 9607, Benton County, Iowa",2740,140,5.1
19013000100,"Census Tract 1, Black Hawk County, Iowa",1806,166,9.2
19013000200,"Census Tract 2, Black Hawk County, Iowa",3099,284,9.2
19013000300,"Census Tract 3, Black Hawk County, Iowa",2558,129,5.0
19013000400,"Census Tract 4, Black Hawk County, Iowa",1492,0,0.0
19013000500,"Census Tract 5, Black Hawk County, Iowa",1969,234,11.9
19013000700,"Census Tract 7, Black Hawk County, Iowa",1660,516,31.1
19013000800,"Census Tract 8, Black Hawk County, Iowa",4329,654,15.1
19013000900,"Census Tract 9, Black Hawk County, Iowa",1818,208,11.4
19013001000,"Census Tract 10, Black Hawk County, Iowa",3799,134,3.5
19013001100,"Census Tract 11, Black Hawk County, Iowa",3100,367,11.8
19013001200,"Census Tract 12, Black Hawk County, Iowa",2387,100,4.2
19013001301,"Census Tract 13.01, Black Hawk County, Iowa",3940,256,6.5
19013001302,"Census Tract 13.02, Black Hawk County, Iowa",3994,26,0.7
19013001400,"Census Tract 14, Black Hawk County, Iowa",4678,158,3.4
19013001501,"Census Tract 15.01, Black Hawk County, Iowa",3247,52,1.6
19013001502,"Census Tract 15.02, Black Hawk County, Iowa",4233,79,1.9
19013001503,"Census Tract 15.03, Black Hawk County, Iowa",3585,40,1.1
19013001600,"Census Tract 16, Black Hawk County, Iowa",2922,7,0.2
19013001701,"Census Tract 17.01, Black Hawk County, Iowa",2130,128,6.0
19013001702,"Census Tract 17.02, Black Hawk County, Iowa",2419,101,4.2
19013001800,"Census Tract 18, Black Hawk County, Iowa",1364,42,3.1
19013001900,"Census Tract 19, Black Hawk County, Iowa",2234,252,11.3
19013002000,"Census Tract 20, Black Hawk County, Iowa",5416,157,2.9
19013002200,"Census Tract 22, Black Hawk County, Iowa",4259,78,1.8
19013002301,"Census Tract 23.01, Black Hawk County, Iowa",2180,72,3.3
19013002303,"Census Tract 23.03, Black Hawk County, Iowa",5333,64,1.2
19013002304,"Census Tract 23.04, Black Hawk County, Iowa",2575,30,1.2
19013002400,"Census Tract 24, Black Hawk County, Iowa",4027,86,2.1
19013002500,"Census Tract 25, Black Hawk County, Iowa",5567,37,0.7
19013002601,"Census Tract 26.01, Black Hawk County, Iowa",4575,76,1.7
19013002603,"Census Tract 26.03, Black Hawk County, Iowa",10675,262,2.5
