CTYNAME,COUNTY,hisp_perc2010,hisp_perc2005,hisp_perc2000,hisp_perc1995,hisp_perc1990,hisp_perc2015
Adair County,001,0.012,0.010,0.007,0.006,0.004,0.016
Adams County,003,0.011,0.007,0.006,0.005,0.004,0.011
Allamakee County,005,0.051,0.050,0.035,0.005,0.003,0.055
Appanoose County,007,0.015,0.012,0.010,0.007,0.005,0.017
Audubon County,009,0.007,0.005,0.005,0.004,0.003,0.010
Benton County,011,0.012,0.009,0.006,0.006,0.004,0.015
Black Hawk County,013,0.038,0.029,0.019,0.010,0.007,0.042
Boone County,015,0.021,0.014,0.008,0.006,0.004,0.025
Bremer County,017,0.011,0.008,0.006,0.005,0.003,0.015
Buchanan County,019,0.013,0.009,0.006,0.008,0.005,0.015
Buena Vista County,021,0.228,0.189,0.126,0.010,0.008,0.246
Butler County,023,0.010,0.007,0.006,0.003,0.002,0.012
Calhoun County,025,0.010,0.009,0.009,0.004,0.003,0.019
Carroll County,027,0.017,0.012,0.005,0.005,0.003,0.023
Cass County,029,0.019,0.014,0.007,0.003,0.003,0.024
Cedar County,031,0.016,0.013,0.009,0.008,0.006,0.017
Cerro Gordo County,033,0.040,0.033,0.028,0.029,0.021,0.045
Cherokee County,035,0.023,0.018,0.010,0.004,0.004,0.035
Chickasaw County,037,0.021,0.014,0.006,0.004,0.003,0.021
Clarke County,039,0.097,0.072,0.040,0.003,0.002,0.120
Clay County,041,0.030,0.023,0.011,0.003,0.003,0.033
Clayton County,043,0.018,0.013,0.008,0.004,0.003,0.018
Clinton County,045,0.027,0.020,0.012,0.008,0.006,0.031
Crawford County,047,0.239,0.168,0.088,0.007,0.006,0.274
Dallas County,049,0.062,0.059,0.054,0.008,0.006,0.062
Davis County,051,0.011,0.009,0.007,0.007,0.005,0.012
Decatur County,053,0.023,0.021,0.017,0.007,0.005,0.027
Delaware County,055,0.008,0.007,0.007,0.006,0.004,0.013
Des Moines County,057,0.028,0.023,0.018,0.016,0.012,0.032
Dickinson County,059,0.011,0.009,0.007,0.006,0.003,0.018
Dubuque County,061,0.020,0.015,0.012,0.007,0.005,0.023
Emmet County,063,0.070,0.058,0.043,0.007,0.005,0.094
Fayette County,065,0.019,0.016,0.015,0.012,0.009,0.023
Floyd County,067,0.021,0.017,0.013,0.007,0.005,0.024
Franklin County,069,0.111,0.091,0.060,0.017,0.013,0.120
Fremont County,071,0.025,0.023,0.022,0.007,0.006,0.026
Greene County,073,0.018,0.018,0.017,0.004,0.003,0.027
Grundy County,075,0.010,0.008,0.006,0.004,0.003,0.013
Guthrie County,077,0.019,0.015,0.011,0.005,0.003,0.023
Hamilton County,079,0.051,0.031,0.014,0.010,0.007,0.058
Hancock County,081,0.035,0.033,0.025,0.014,0.010,0.039
Hardin County,083,0.037,0.028,0.024,0.007,0.006,0.043
Harrison County,085,0.014,0.009,0.007,0.005,0.003,0.013
Henry County,087,0.040,0.027,0.012,0.010,0.007,0.047
Howard County,089,0.012,0.010,0.006,0.004,0.002,0.016
Humboldt County,091,0.035,0.024,0.010,0.004,0.003,0.039
Ida County,093,0.014,0.010,0.005,0.003,0.003,0.022
Iowa County,095,0.019,0.015,0.010,0.004,0.003,0.025
Jackson County,097,0.012,0.008,0.006,0.006,0.005,0.014
Jasper County,099,0.016,0.013,0.010,0.007,0.006,0.021
Jefferson County,101,0.026,0.023,0.018,0.011,0.009,0.034
Johnson County,103,0.048,0.037,0.025,0.021,0.015,0.055
Jones County,105,0.013,0.012,0.011,0.008,0.005,0.019
Keokuk County,107,0.009,0.007,0.005,0.002,0.002,0.015
Kossuth County,109,0.012,0.011,0.008,0.006,0.005,0.021
Lee County,111,0.032,0.028,0.024,0.026,0.019,0.034
Linn County,113,0.027,0.020,0.014,0.013,0.009,0.030
Louisa County,115,0.156,0.140,0.127,0.049,0.037,0.162
Lucas County,117,0.010,0.009,0.009,0.007,0.006,0.016
Lyon County,119,0.018,0.013,0.004,0.002,0.001,0.027
Madison County,121,0.014,0.011,0.008,0.008,0.005,0.016
Mahaska County,123,0.017,0.014,0.009,0.006,0.004,0.021
Marion County,125,0.017,0.013,0.008,0.008,0.005,0.019
Marshall County,127,0.173,0.132,0.090,0.011,0.008,0.207
Mills County,129,0.024,0.019,0.012,0.008,0.005,0.027
Mitchell County,131,0.010,0.008,0.006,0.006,0.004,0.014
Monona County,133,0.012,0.009,0.007,0.004,0.003,0.018
Monroe County,135,0.020,0.014,0.005,0.003,0.002,0.024
Montgomery County,137,0.027,0.026,0.013,0.005,0.004,0.035
Muscatine County,139,0.159,0.139,0.120,0.098,0.073,0.175
O'Brien County,141,0.035,0.026,0.018,0.003,0.003,0.046
Osceola County,143,0.059,0.043,0.018,0.002,0.002,0.072
Page County,145,0.027,0.022,0.016,0.016,0.012,0.029
Palo Alto County,147,0.014,0.012,0.008,0.003,0.002,0.024
Plymouth County,149,0.029,0.022,0.013,0.004,0.002,0.043
Pocahontas County,151,0.018,0.016,0.009,0.004,0.003,0.038
Polk County,153,0.076,0.060,0.045,0.026,0.019,0.082
Pottawattamie County,155,0.066,0.048,0.033,0.025,0.018,0.075
Poweshiek County,157,0.025,0.019,0.012,0.004,0.004,0.033
Ringgold County,159,0.017,0.011,0.002,0.003,0.003,0.021
Sac County,161,0.017,0.015,0.010,0.005,0.004,0.028
Scott County,163,0.056,0.048,0.041,0.039,0.028,0.064
Shelby County,165,0.017,0.012,0.007,0.004,0.003,0.030
Sioux County,167,0.088,0.056,0.026,0.004,0.002,0.102
Story County,169,0.031,0.022,0.016,0.015,0.011,0.031
Tama County,171,0.073,0.058,0.038,0.010,0.007,0.085
Taylor County,173,0.052,0.045,0.038,0.009,0.006,0.081
Union County,175,0.017,0.015,0.010,0.004,0.003,0.029
Van Buren County,177,0.010,0.011,0.008,0.005,0.004,0.013
Wapello County,179,0.091,0.069,0.022,0.008,0.006,0.105
Warren County,181,0.020,0.015,0.011,0.011,0.008,0.026
Washington County,183,0.053,0.040,0.027,0.014,0.010,0.058
Wayne County,185,0.010,0.010,0.007,0.005,0.004,0.017
Webster County,187,0.039,0.030,0.023,0.016,0.012,0.045
Winnebago County,189,0.031,0.026,0.020,0.010,0.008,0.042
Winneshiek County,191,0.020,0.013,0.008,0.004,0.003,0.022
Woodbury County,193,0.138,0.114,0.092,0.037,0.028,0.157
Worth County,195,0.019,0.017,0.016,0.015,0.011,0.029
Wright County,197,0.094,0.072,0.049,0.009,0.006,0.105
